CourseID,Title,Instructor,Department,Credits,Level,Days,Time,Syllabus URL
COMS W4111,Introduction to Databases,Eugene Wu,COMS,3,4000,Tue Thu,8:40am - 9:55am,https://w4111.github.io/syllabus
COMS W4180,Network Security,Steven M. Bellovin,COMS,3,4000,Tue Thu,3:10pm - 4:25pm,https://www.cs.columbia.edu/~smb/classes/f06/
COMS W4705,Natural Language Processing,John Hewitt,COMS,3,4000,Tue Thu,2:40pm - 3:55pm,https://www.cs.columbia.edu/~johnhew/coms4705
COMS W4706,Spoken Language Processing,Julia Hirschberg,COMS,3,4000,Mon Wed,2:40pm - 3:55pm,https://www.cs.columbia.edu/~julia/courses/CS4706/syllabus11.htm
COMS W4771,Machine Learning,Nakul Verma,COMS,3,4000,Tue Thu,1:10pm - 2:25pm,https://www.cs.columbia.edu/~verma/classes/ml/index.html
COMS W4772,Advanced Machine Learning,Tony Jebara,COMS,3,4000,Mon Wed,1:10pm - 2:25pm,https://www.cs.columbia.edu/~jebara/6772/6772Info.htm
COMS W4773,Machine Learning Theory,Daniel Hsu,COMS,3,4000,Tue Thu,8:40am - 9:55am,https://www.cs.columbia.edu/~djhsu/coms4773-s24/syllabus.html
COMS W4776,Neural Networks & Deep Learning,Richard Zemel,COMS,3,4000,Tue Thu,2:40pm - 3:55pm,https://www.scribd.com/document/916572106/syllabus
COMS E6118,Operating Systems II,Jason Nieh,COMS,3,6000,Thu,2:10pm - 4:00pm,https://www.cs.columbia.edu/~nieh/teaching/e6118
COMS E6121,Reliable Software,Junfeng Yang,COMS,3,6000,Tue,2:10pm - 4:00pm,https://www.cs.columbia.edu/~junfeng/14fa-e6121
COMS E6183,Security,Suman Jana,COMS,3,6000,Wed,6:10pm - 8:00pm,https://www.cs.columbia.edu/~suman/coms_e6183.html
COMS E6184,Anonymity & Privacy,Steven M. Bellovin,COMS,3,6000,Mon,6:20pm - 8:10pm,http://www.cs.columbia.edu/~smb/classes/f23/
COMS E6261,Advanced Cryptography,Tal Malkin,COMS,3,6000,Thu,2:10pm - 4:00pm,https://www.cs.columbia.edu/~mchrist/teaching/6261/
CSEE W4119,Computer Networks,Henning Schulzrinne,COMS,3,4000,Mon Wed,4:10pm - 5:25pm,https://www.cs.columbia.edu/~hgs/teaching/networks/
CSEE W4840,Embedded Systems,Stephen A. Edwards,COMS,3,4000,Mon Wed,1:10pm - 2:25pm,https://www.cs.columbia.edu/~sedwards/classes/2026/4840-spring/index.html
ELEN E4810,Digital Signal Processing,John Wright,ELEN,3,4000,Mon Wed,1:10pm - 2:25pm,https://www.ee.columbia.edu/~dpwe/e4810/
ELEN E6829,Speech/Audio Processing-Recognition,Dan Ellis,ELEN,3,6000,Tue Thu,1:10pm - 2:25pm,https://www.ee.columbia.edu/~dpwe/e6820/
PSYC G4470,Psychology and Neuropsychology of Language,Michele Miozzo,PSYC,3,4000,Tue,4:10pm - 6:00pm,https://psychology.columbia.edu/sites/default/files/content/GU4470.pdf
PSYC G6006,Introduction to Statistical Modelling in Psychology,Niall Bolger,PSYC,3,6000,Mon Wed,10:10am - 12:00pm,https://psychology.columbia.edu/sites/psychology.columbia.edu/files/content/6006_Y12.pdf
STAT W4240,Data Mining,Daniel Rabinowitz,STAT,3,4000,Tue Thu,6:15pm - 7:50pm,https://www.columbia.edu/~kr2248/4240/datamining.html
STAT W4249,Applied Data Science,Ying Liu,STAT,3,4000,Wed,6:10pm - 8:55pm,https://github.com/TZstatsADS/ADS_Teaching/blob/master/CourseInfo/G5243_ADS.md
ELEN E3801,Signals and Systems,Xiaodong Wang,ELEN,3,3000,Tue Thu,9:35am - 10:50am,https://www.ee.columbia.edu/~wangx/ee3202.pdf
